DischQuarter,DischMonth,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases,modeOfLOS,totalLOS,ALOS
3,7,Diseases of the genitourinary system,Acute and unspecified renal failure,3,3,11,3.67
3,7,Diseases of the genitourinary system,Calculus of urinary tract,5,1,5,1
3,7,Diseases of the genitourinary system,Complications of surgical procedures or medical care,1,5,5,5
3,7,Diseases of the genitourinary system,Genitourinary symptoms and ill-defined conditions,1,1,1,1
3,7,Diseases of the genitourinary system,Menstrual disorders,3,1,6,2
3,7,Diseases of the genitourinary system,Nephritis; nephrosis; renal sclerosis,1,1,1,1
3,7,Diseases of the genitourinary system,Other male genital disorders,1,5,5,5
3,7,Diseases of the genitourinary system,Ovarian cyst,1,1,1,1
3,7,Diseases of the genitourinary system,Prolapse of female genital organs,1,4,4,4
3,7,Diseases of the genitourinary system,Urinary tract infections,17,6,122,7.18
3,7,Diseases of the musculoskeletal system and connective tissue,Acquired foot deformities,2,1,2,1
3,7,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,5,6,30,6
3,7,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,1,3,3,3
3,7,Diseases of the musculoskeletal system and connective tissue,Other non-traumatic joint disorders,2,1,12,6
3,7,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,2,2,4,2
3,7,Diseases of the nervous system,Epilepsy; convulsions,2,1,2,1
3,7,Diseases of the nervous system,Headache; including migraine,4,1,5,1.25
3,7,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,1,8,8,8
3,7,Diseases of the respiratory system,Acute and chronic tonsillitis,4,1,7,1.75
3,7,Diseases of the respiratory system,Acute bronchitis,12,1,62,5.17
3,7,Diseases of the respiratory system,Asthma,4,3,32,8
3,7,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,7,5,34,4.86
3,7,Diseases of the respiratory system,Other lower respiratory disease,1,3,3,3
3,7,Diseases of the respiratory system,Other upper respiratory disease,1,1,1,1
3,7,Diseases of the respiratory system,Other upper respiratory infections,4,1,6,1.5
3,7,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),6,5,40,6.67
3,7,Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin,1,1,1,1
3,7,Diseases of the skin and subcutaneous tissue,Other skin disorders,1,1,1,1
3,7,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,3,10,18,6
3,7,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,1,1,1,1
3,7,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,1,9,9,9
3,7,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,6,6,6
3,7,"Endocrine, nutritional and metabolic diseases",Other nutritional; endocrine; and metabolic disorders,1,7,7,7
3,7,External causes of morbidity and mortality,,14,1,33,2.36
3,7,Factors influencing health status and contact with health services,Chronic kidney disease,1,28,28,28
3,7,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,1,21,21,21
3,7,Factors influencing health status and contact with health services,Medical examination/evaluation,3,4,15,5
3,7,Factors influencing health status and contact with health services,Other screening for suspected conditions (not mental disorders or infectious disease),2,1,2,1
3,7,Factors influencing health status and contact with health services,Residual codes; unclassified,29,2,81,2.79
3,7,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,11,1,17,1.55
3,7,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,3,2,10,3.33
3,7,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),1,8,8,8
3,7,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,4,2,7,1.75
3,7,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1,1,1,1
3,7,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,1,0,0,0
3,7,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,1,1,1,1
3,7,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,1,3,3,3
3,7,"Injury, poisoning and certain other consequences of external causes",Other fractures,3,1,25,8.33
3,7,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,6,1,10,1.67
3,7,"Injury, poisoning and certain other consequences of external causes",Skull and face fractures,1,1,1,1
3,7,Mental and behavioural disorders,,5,2,14,2.8
3,7,Neoplasms,Benign neoplasm of uterus,1,1,1,1
3,7,Neoplasms,Cancer of bladder,1,2,2,2
3,7,Neoplasms,Cancer of head and neck,1,8,8,8
3,7,Neoplasms,Leukemias,1,1,1,1
3,7,Neoplasms,Neoplasms of unspecified nature or uncertain behavior,1,5,5,5
3,7,"Pregnancy, childbirth and the puerperium",Early or threatened labor,1,0,0,0
3,7,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,2,4,8,4
3,7,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,4,1,10,2.5
3,7,"Pregnancy, childbirth and the puerperium",Hypertension complicating pregnancy; childbirth and the puerperium,1,7,7,7
3,7,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,15,2,39,2.6
3,7,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,6,2,17,2.83
3,7,"Pregnancy, childbirth and the puerperium",Polyhydramnios and other problems of amniotic cavity,1,4,4,4
3,7,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1,1,1,1
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,13,1,27,2.08
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,1,3,1
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2,2,9,4.5
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diabetes mellitus without complication,1,3,3,3
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diseases of mouth; excluding dental,1,6,6,6
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,1,1,1
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,1,4,4,4
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Gangrene,1,29,29,29
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,3,2,5,1.67
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,3,5,9,3
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,2,10,18,9
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,13,1,26,2
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,1,7,7,7
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,2,4,6,3
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,4,2,10,2.5
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1,4,4,4
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,2,1,2,1
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,4,0,1,0.25
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,8,1,11,1.38
3,7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Thyroid disorders,1,8,8,8
3,8,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,2,7,15,7.5
3,8,Certain infectious and parasitic diseases,Intestinal infection,22,2,69,3.14
3,8,Certain infectious and parasitic diseases,Meningitis (except that caused by tuberculosis or sexually transmitted disease),2,3,5,2.5
3,8,Certain infectious and parasitic diseases,Other infections; including parasitic,1,3,3,3
3,8,Certain infectious and parasitic diseases,Septicemia (except in labor),4,3,28,7
3,8,Certain infectious and parasitic diseases,Viral infection,2,6,9,4.5
3,8,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital anomalies,1,1,1,1
3,8,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,1,2,2,2
3,8,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,4,1,7,1.75
3,8,Diseases of the circulatory system,Acute cerebrovascular disease,2,2,3,1.5
3,8,Diseases of the circulatory system,Acute myocardial infarction,2,1,1,0.5
3,8,Diseases of the circulatory system,Cardiac dysrhythmias,7,1,7,1
3,8,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,2,5,20,10
3,8,Diseases of the circulatory system,Essential hypertension,1,1,1,1
3,8,Diseases of the circulatory system,Hemorrhoids,1,0,0,0
3,8,Diseases of the circulatory system,Other circulatory disease,1,1,1,1
3,8,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,1,5,5,5
3,8,Diseases of the circulatory system,Pulmonary heart disease,2,3,5,2.5
3,8,Diseases of the digestive system,,1,1,1,1
3,8,Diseases of the digestive system,Abdominal hernia,4,1,4,1
3,8,Diseases of the digestive system,Anal and rectal conditions,6,1,14,2.33
3,8,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1,1,1,1
3,8,Diseases of the digestive system,Biliary tract disease,5,3,19,3.8
3,8,Diseases of the digestive system,Disorders of teeth and jaw,1,3,3,3
3,8,Diseases of the digestive system,Esophageal disorders,3,3,9,3
3,8,Diseases of the digestive system,Gastritis and duodenitis,6,1,10,1.67
3,8,Diseases of the digestive system,Gastrointestinal hemorrhage,1,11,11,11
3,8,Diseases of the digestive system,Noninfectious gastroenteritis,10,1,13,1.3
3,8,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,5,5,5
3,8,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,3,1,11,3.67
3,8,Diseases of the eye and adnexa,Blindness and vision defects,1,2,2,2
3,8,Diseases of the eye and adnexa,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),1,10,10,10
3,8,Diseases of the genitourinary system,Acute and unspecified renal failure,2,7,10,5
3,8,Diseases of the genitourinary system,Calculus of urinary tract,6,1,7,1.17
3,8,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,1,1,1,1
3,8,Diseases of the genitourinary system,Nephritis; nephrosis; renal sclerosis,1,7,7,7
3,8,Diseases of the genitourinary system,Other female genital disorders,1,2,2,2
3,8,Diseases of the genitourinary system,Ovarian cyst,4,1,6,1.5
3,8,Diseases of the genitourinary system,Urinary tract infections,11,3,55,5
3,8,Diseases of the musculoskeletal system and connective tissue,Joint disorders and dislocations; trauma-related,1,1,1,1
3,8,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,7,5,35,5
3,8,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,3,1,7,2.33
3,8,Diseases of the musculoskeletal system and connective tissue,Other non-traumatic joint disorders,2,10,11,5.5
3,8,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,1,1,1,1
3,8,Diseases of the nervous system,Epilepsy; convulsions,5,1,10,2
3,8,Diseases of the nervous system,Headache; including migraine,2,1,2,1
3,8,Diseases of the nervous system,Other nervous system disorders,1,2,2,2
3,8,Diseases of the respiratory system,Acute and chronic tonsillitis,5,1,15,3
3,8,Diseases of the respiratory system,Acute bronchitis,5,2,23,4.6
3,8,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,1,3,3,3
3,8,Diseases of the respiratory system,Asthma,1,11,11,11
3,8,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,5,5,21,4.2
3,8,Diseases of the respiratory system,Other upper respiratory disease,1,28,28,28
3,8,Diseases of the respiratory system,Other upper respiratory infections,2,1,2,1
3,8,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,5,5,5
3,8,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),8,6,49,6.12
3,8,Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin,1,10,10,10
3,8,Diseases of the skin and subcutaneous tissue,Other skin disorders,1,1,1,1
3,8,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,5,6,21,4.2
3,8,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,2,0,1,0.5
3,8,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,4,3,22,5.5
3,8,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,12,12,12
3,8,External causes of morbidity and mortality,,23,1,35,1.52
3,8,Factors influencing health status and contact with health services,Chronic kidney disease,6,0,28,4.67
3,8,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,1,1,1,1
3,8,Factors influencing health status and contact with health services,Other aftercare,2,2,3,1.5
3,8,Factors influencing health status and contact with health services,Other pregnancy and delivery including normal,1,1,1,1
3,8,Factors influencing health status and contact with health services,Rehabilitation care; fitting of prostheses; and adjustment of devices,1,8,8,8
3,8,Factors influencing health status and contact with health services,Residual codes; unclassified,38,2,102,2.68
3,8,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,7,1,19,2.71
3,8,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,5,3,37,7.4
3,8,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),7,9,80,11.43
3,8,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,7,1,32,4.57
3,8,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,2,1,1,0.5
3,8,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,3,1,4,1.33
3,8,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,2,1,5,2.5
3,8,"Injury, poisoning and certain other consequences of external causes",Other fractures,3,3,5,1.67
3,8,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,5,1,5,1
3,8,"Injury, poisoning and certain other consequences of external causes",Spinal cord injury,1,2,2,2
3,8,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,1,2,2,2
3,8,Mental and behavioural disorders,,3,0,7,2.33
3,8,Neoplasms,Cancer of brain and nervous system,1,4,4,4
3,8,Neoplasms,Cancer of kidney and renal pelvis,1,6,6,6
3,8,Neoplasms,Leukemias,1,3,3,3
3,8,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,4,1,8,2
3,8,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,25,2,70,2.8
3,8,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,7,3,22,3.14
3,8,"Pregnancy, childbirth and the puerperium",Other pregnancy and delivery including normal,1,3,3,3
3,8,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,4,0,0,0
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,12,2,18,1.5
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,2,0,2,1
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2,1,2,1
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diabetes mellitus without complication,1,2,2,2
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,1,1,1
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,2,4,11,5.5
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,3,7,20,6.67
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,3,3,4,1.33
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,2,1,4,2
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,13,1,19,1.46
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,1,1,1,1
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,1,2,2,2
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,2,5,5,2.5
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,1,6,6,6
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1,4,4,4
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,1,1,1,1
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,2,3,4,2
3,8,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,4,1,10,2.5
3,9,Certain infectious and parasitic diseases,Intestinal infection,12,3,45,3.75
3,9,Certain infectious and parasitic diseases,Septicemia (except in labor),4,7,33,8.25
3,9,Certain infectious and parasitic diseases,Viral infection,6,1,14,2.33
3,9,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,5,5,18,3.6
3,9,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of white blood cells,1,4,4,4
3,9,Diseases of the circulatory system,Acute cerebrovascular disease,1,10,10,10
3,9,Diseases of the circulatory system,Acute myocardial infarction,3,9,12,4
3,9,Diseases of the circulatory system,Cardiac dysrhythmias,7,1,7,1
3,9,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,2,5,10,5
3,9,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1,4,4,4
3,9,Diseases of the circulatory system,Essential hypertension,1,1,1,1
3,9,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1,2,2,2
3,9,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1,10,10,10
3,9,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,2,6,8,4
3,9,Diseases of the circulatory system,Pulmonary heart disease,1,1,1,1
3,9,Diseases of the digestive system,Anal and rectal conditions,6,1,12,2
3,9,Diseases of the digestive system,Appendicitis and other appendiceal conditions,2,2,4,2
3,9,Diseases of the digestive system,Biliary tract disease,5,6,23,4.6
3,9,Diseases of the digestive system,Complications of surgical procedures or medical care,1,2,2,2
3,9,Diseases of the digestive system,Diverticulosis and diverticulitis,2,3,6,3
3,9,Diseases of the digestive system,Gastritis and duodenitis,1,1,1,1
3,9,Diseases of the digestive system,Gastrointestinal hemorrhage,2,2,3,1.5
3,9,Diseases of the digestive system,Intestinal obstruction without hernia,1,5,5,5
3,9,Diseases of the digestive system,Noninfectious gastroenteritis,6,2,27,4.5
3,9,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,3,3,3
3,9,Diseases of the digestive system,Peritonitis and intestinal abscess,2,3,10,5
3,9,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,3,1,4,1.33
3,9,Diseases of the ear and mastoid process,Otitis media and related conditions,1,1,1,1
3,9,Diseases of the eye and adnexa,Blindness and vision defects,1,2,2,2
3,9,Diseases of the eye and adnexa,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),1,7,7,7
3,9,Diseases of the genitourinary system,Acute and unspecified renal failure,1,1,1,1
3,9,Diseases of the genitourinary system,Calculus of urinary tract,5,0,4,0.8
3,9,Diseases of the genitourinary system,Complications of surgical procedures or medical care,1,2,2,2
3,9,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,3,1,4,1.33
3,9,Diseases of the genitourinary system,Urinary tract infections,17,1,94,5.53
3,9,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,6,6,44,7.33
3,9,Diseases of the musculoskeletal system and connective tissue,Other non-traumatic joint disorders,1,5,5,5
3,9,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,1,4,4,4
3,9,Diseases of the nervous system,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,4,4,4
3,9,Diseases of the nervous system,Epilepsy; convulsions,3,1,4,1.33
3,9,Diseases of the nervous system,Headache; including migraine,3,2,9,3
3,9,Diseases of the nervous system,Other nervous system disorders,1,4,4,4
3,9,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,2,2,2,1
3,9,Diseases of the respiratory system,Acute and chronic tonsillitis,2,1,2,1
3,9,Diseases of the respiratory system,Acute bronchitis,7,1,44,6.29
3,9,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,1,9,9,9
3,9,Diseases of the respiratory system,Asthma,2,4,9,4.5
3,9,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,1,3,3,3
3,9,Diseases of the respiratory system,Other upper respiratory infections,8,1,16,2
3,9,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,4,4,4
3,9,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),4,2,43,10.75
3,9,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,6,10,65,10.83
3,9,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,1,6,6,6
3,9,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,1,2,2,2
3,9,"Endocrine, nutritional and metabolic diseases",Nutritional deficiencies,1,2,2,2
3,9,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,2,0,3,1.5
3,9,External causes of morbidity and mortality,,8,2,10,1.25
3,9,Factors influencing health status and contact with health services,Chronic kidney disease,3,0,27,9
3,9,Factors influencing health status and contact with health services,Medical examination/evaluation,1,10,10,10
3,9,Factors influencing health status and contact with health services,Rehabilitation care; fitting of prostheses; and adjustment of devices,1,30,30,30
3,9,Factors influencing health status and contact with health services,Residual codes; unclassified,30,2,81,2.7
3,9,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,1,2,2,2
3,9,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,8,1,16,2
3,9,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,4,4,18,4.5
3,9,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),1,5,5,5
3,9,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,10,2,17,1.7
3,9,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,3,1,4,1.33
3,9,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,2,2,3,1.5
3,9,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,1,1,1,1
3,9,"Injury, poisoning and certain other consequences of external causes",Other fractures,3,5,17,5.67
3,9,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,4,0,0,0
3,9,"Injury, poisoning and certain other consequences of external causes",Poisoning by other medications and drugs,1,2,2,2
3,9,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,3,1,4,1.33
3,9,Mental and behavioural disorders,,4,1,29,7.25
3,9,Neoplasms,Benign neoplasm of uterus,2,3,7,3.5
3,9,Neoplasms,Cancer of bronchus; lung,1,19,19,19
3,9,Neoplasms,Cancer of pancreas,1,2,2,2
3,9,Neoplasms,Neoplasms of unspecified nature or uncertain behavior,1,10,10,10
3,9,Neoplasms,Secondary malignancies,1,17,17,17
3,9,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,1,0,0,0
3,9,"Pregnancy, childbirth and the puerperium",Induced abortion,1,0,0,0
3,9,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,17,2,45,2.65
3,9,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,9,3,28,3.11
3,9,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,3,2,4,1.33
3,9,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1,0,0,0
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,17,1,26,1.53
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2,3,4,2
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diabetes mellitus without complication,2,5,9,4.5
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,3,1,6,2
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,1,5,5,5
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Lymphadenitis,1,3,3,3
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,1,3,3,3
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,2,2,7,3.5
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,14,1,16,1.14
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,2,3,8,4
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,1,5,5,5
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,5,2,10,2
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,4,1,11,2.75
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1,11,11,11
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,5,4,23,4.6
3,9,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,6,1,14,2.33
4,10,Certain conditions originating in the perinatal period,Other perinatal conditions,1,4,4,4
4,10,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,2,2,10,5
4,10,Certain infectious and parasitic diseases,Intestinal infection,6,3,12,2
4,10,Certain infectious and parasitic diseases,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,3,3,3
4,10,Certain infectious and parasitic diseases,Septicemia (except in labor),1,5,5,5
4,10,Certain infectious and parasitic diseases,Viral infection,5,3,13,2.6
4,10,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,3,2,5,1.67
4,10,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of white blood cells,2,7,13,6.5
4,10,Diseases of the circulatory system,Acute cerebrovascular disease,3,1,5,1.67
4,10,Diseases of the circulatory system,Acute myocardial infarction,3,1,4,1.33
4,10,Diseases of the circulatory system,Cardiac dysrhythmias,6,1,13,2.17
4,10,Diseases of the circulatory system,Conduction disorders,1,1,1,1
4,10,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,11,6,56,5.09
4,10,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,3,1,2,0.67
4,10,Diseases of the circulatory system,Essential hypertension,1,2,2,2
4,10,Diseases of the circulatory system,Hemorrhoids,1,4,4,4
4,10,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,1,2,2,2
4,10,Diseases of the circulatory system,Pulmonary heart disease,1,1,1,1
4,10,Diseases of the digestive system,Abdominal hernia,1,1,1,1
4,10,Diseases of the digestive system,Anal and rectal conditions,4,1,10,2.5
4,10,Diseases of the digestive system,Appendicitis and other appendiceal conditions,4,3,11,2.75
4,10,Diseases of the digestive system,Biliary tract disease,1,7,7,7
